tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
B00228,2,1,0,0,0,0,0.0,3
B14203,3,0,0,0,0,0,0.0,3
B15678,0,3,0,0,0,0,0.0,3
B20173,1,2,0,0,0,0,0.0,3
B27750,0,3,0,0,0,0,0.0,3
B28382,0,3,0,0,0,0,0.0,3
B29161,1,2,0,0,0,0,0.0,3
B03902,1,1,0,0,0,0,0.0,2
B08579,1,1,0,0,0,0,0.0,2
B22572,0,2,0,0,0,0,0.0,2
B29537,1,1,0,0,0,0,0.0,2
B00238,1,0,0,0,0,0,0.0,1
B05044,0,1,0,0,0,0,0.0,1
B09552,0,1,0,0,0,0,0.0,1
B13878,0,1,0,0,0,0,0.0,1
B14200,1,0,0,0,0,0,0.0,1
B14201,0,1,0,0,0,0,0.0,1
B17322,0,1,0,0,0,0,0.0,1
B34542,1,0,0,0,0,0,0.0,1
