tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
A61604,0,14,0,0,3,0,0.17647058823529413,17
B28834,12,357,16,8,55,0,0.17633928571428573,448
A13578,6,126,14,3,10,0,0.16981132075471697,159
A07838,41,191,4,12,28,3,0.16845878136200718,279
B01083,93,2,0,18,1,0,0.16666666666666666,114
A19735,35,0,0,7,0,0,0.16666666666666666,42
A55875,23,12,0,5,2,0,0.16666666666666666,42
A43321,3,22,3,0,2,0,0.16666666666666666,30
A90065,1,4,0,0,1,0,0.16666666666666666,6
A65306,0,5,0,0,1,0,0.16666666666666666,6
A02722,1,4,1,0,0,0,0.16666666666666666,6
A79435,1,4,0,0,1,0,0.16666666666666666,6
A44705,1,4,1,0,0,0,0.16666666666666666,6
A19873,0,5,0,0,1,0,0.16666666666666666,6
A61272,2,3,0,1,0,0,0.16666666666666666,6
A36355,0,5,0,0,1,0,0.16666666666666666,6
A60586,3,2,1,0,0,0,0.16666666666666666,6
A91900,0,5,0,1,0,0,0.16666666666666666,6
A02567,2,3,1,0,0,0,0.16666666666666666,6
A50227,3,2,0,0,0,1,0.16666666666666666,6
A61247,0,5,0,0,1,0,0.16666666666666666,6
A09432,36,756,12,6,117,21,0.16455696202531644,948
A13290,7,198,3,1,27,9,0.16326530612244897,245
A87089,3,38,2,0,5,1,0.16326530612244897,49
A27558,0,31,0,0,2,4,0.16216216216216217,37
A13562,2,29,1,1,4,0,0.16216216216216217,37
A88994,5,52,4,0,6,1,0.16176470588235295,68
A68116,12,35,0,2,6,1,0.16071428571428573,56
A17725,5,42,3,0,6,0,0.16071428571428573,56
A33664,6,57,2,3,7,0,0.16,75
A29110,2,35,0,0,4,3,0.1590909090909091,44
A04388,21,75,4,5,9,0,0.15789473684210525,114
A79521,0,32,1,0,5,0,0.15789473684210525,38
A09443,76,386,4,8,60,12,0.15384615384615385,546
A27534,2,9,0,0,2,0,0.15384615384615385,13
A31344,1,10,1,1,0,0,0.15384615384615385,13
A61531,6,5,0,2,0,0,0.15384615384615385,13
A57327,2,71,2,1,10,0,0.1511627906976744,86
A22722,150,3,5,22,0,0,0.15,180
A01703,15,70,2,2,10,1,0.15,100
A17283,7,44,0,1,4,4,0.15,60
A11792,12,45,2,2,6,0,0.14925373134328357,67
B07428,10,110,1,4,15,1,0.14893617021276595,141
A01347,14,26,1,1,5,0,0.14893617021276595,47
A33648,8,101,0,8,11,0,0.1484375,128
A09750,1,45,0,4,3,1,0.14814814814814814,54
A16985,24,40,0,2,7,2,0.14666666666666667,75
A80759,5,42,0,2,4,2,0.14545454545454545,55
A86502,40,86,2,7,12,0,0.14285714285714285,147
A89018,3,63,0,1,10,0,0.14285714285714285,77
A01698,3,57,4,2,4,0,0.14285714285714285,70
A61614,1,29,1,3,0,1,0.14285714285714285,35
A59557,1,17,3,0,0,0,0.14285714285714285,21
A42061,0,18,0,0,3,0,0.14285714285714285,21
A70828,1,11,0,0,2,0,0.14285714285714285,14
A15106,6,6,0,1,1,0,0.14285714285714285,14
A67212,2,10,0,1,1,0,0.14285714285714285,14
A53329,0,6,1,0,0,0,0.14285714285714285,7
A55348,0,6,0,0,1,0,0.14285714285714285,7
A64131,0,6,0,0,1,0,0.14285714285714285,7
A25829,0,6,0,1,0,0,0.14285714285714285,7
B17254,1,5,0,0,1,0,0.14285714285714285,7
A79887,0,6,0,0,1,0,0.14285714285714285,7
A35175,5,1,0,1,0,0,0.14285714285714285,7
A61603,0,6,0,0,1,0,0.14285714285714285,7
A87874,0,6,0,0,0,1,0.14285714285714285,7
A33777,1,5,0,1,0,0,0.14285714285714285,7
A61245,1,5,0,0,1,0,0.14285714285714285,7
A30438,1,5,0,0,1,0,0.14285714285714285,7
A87607,9,178,0,5,20,6,0.14220183486238533,218
A05282,22,325,12,5,35,5,0.14108910891089108,404
A19313,0,37,0,1,5,0,0.13953488372093023,43
A57963,16,77,1,6,6,2,0.1388888888888889,108
A02804,6,19,0,3,1,0,0.13793103448275862,29
B11963,95,24,3,10,5,1,0.13768115942028986,138
A16144,698,11,3,106,4,0,0.13746958637469586,822
A86930,3,60,0,2,6,2,0.136986301369863,73
A44142,4,34,0,0,6,0,0.13636363636363635,44
A47043,9,131,0,7,15,0,0.13580246913580246,162
