tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
A04416,117,25,0,0,0,5,0.034013605442176874,147
A04905,39,19,0,0,0,2,0.03333333333333333,60
A05142,28,1,1,0,0,0,0.03333333333333333,30
A09967,18,11,0,1,0,0,0.03333333333333333,30
A00409,94,57,0,3,0,2,0.03205128205128205,156
A05342,12,111,1,0,0,3,0.031496062992125984,127
A01935,106,463,2,8,0,8,0.030664395229982964,587
A04110,117,553,1,2,0,18,0.030390738060781478,691
A04931,31,1,0,1,0,0,0.030303030303030304,33
A09965,22,75,0,1,0,2,0.03,100
A09675,8,57,1,0,0,1,0.029850746268656716,67
A07536,9,58,0,0,0,2,0.028985507246376812,69
A04463,258,12,0,8,0,0,0.02877697841726619,278
A06135,11,23,0,0,0,1,0.02857142857142857,35
A02178,165,282,1,6,0,6,0.02826086956521739,460
A00818,8,96,1,1,0,1,0.028037383177570093,107
A07839,23,117,0,3,0,1,0.027777777777777776,144
A02611,32,3,0,1,0,0,0.027777777777777776,36
A01725,47,59,0,3,0,0,0.027522935779816515,109
A01534,65,545,0,7,0,10,0.02711323763955343,627
A00259,1,72,0,0,0,2,0.02666666666666667,75
A03308,42,439,0,1,0,12,0.02631578947368421,494
A04366,44,32,0,2,0,0,0.02564102564102564,78
A09510,7,31,0,1,0,0,0.02564102564102564,39
A04608,18,174,1,0,0,4,0.025380710659898477,197
A09677,172,97,0,4,0,3,0.025362318840579712,276
A03765,53,24,0,1,0,1,0.02531645569620253,79
A00888,138,714,2,6,0,14,0.02517162471395881,874
A01704,124,634,3,0,0,16,0.02445302445302445,777
A09262,12,110,0,0,0,3,0.024,125
A02567,10,72,2,0,0,0,0.023809523809523808,84
A03787,17,109,2,0,0,1,0.023255813953488372,129
A04367,14,28,0,1,0,0,0.023255813953488372,43
A06532,37,5,1,0,0,0,0.023255813953488372,43
A04847,41,346,0,2,0,7,0.022727272727272728,396
A02883,40,3,0,1,0,0,0.022727272727272728,44
A04480,285,24,2,5,0,0,0.022151898734177215,316
A09910,22,23,0,1,0,0,0.021739130434782608,46
A00816,13,124,0,0,0,3,0.02142857142857143,140
A00581,6,42,0,1,0,0,0.02040816326530612,49
A02715,22,26,0,1,0,0,0.02040816326530612,49
A03344,83,254,0,2,0,5,0.020348837209302327,344
A01431,53,525,1,4,0,7,0.020338983050847456,590
A03639,30,19,0,1,0,0,0.02,50
A04425,19,80,0,1,0,1,0.019801980198019802,101
A05404,32,18,0,1,0,0,0.0196078431372549,51
A01554,131,1009,0,9,0,13,0.0189328743545611,1162
A08769,6,46,0,0,0,1,0.018867924528301886,53
A03281,22,138,0,0,0,3,0.018404907975460124,163
A07452,56,51,0,1,0,1,0.01834862385321101,109
A00944,10,44,0,0,0,1,0.01818181818181818,55
A03779,18,146,0,0,0,3,0.017964071856287425,167
A03763,97,13,0,1,0,1,0.017857142857142856,112
A04622,10,47,0,0,0,1,0.017241379310344827,58
A02706,27,31,0,0,0,1,0.01694915254237288,59
A01092,13,107,1,0,0,1,0.01639344262295082,122
A01529,111,551,0,3,0,8,0.01634472511144131,673
A03104,78,44,0,2,0,0,0.016129032258064516,124
A03713,29,155,0,0,0,3,0.016042780748663103,187
A04986,101,400,0,5,0,3,0.015717092337917484,509
A02457,20,108,0,0,0,2,0.015384615384615385,130
A05171,37,27,1,0,0,0,0.015384615384615385,65
A04776,98,229,1,2,0,2,0.015060240963855422,332
A09505,127,6,0,2,0,0,0.014814814814814815,135
A02771,11,56,0,0,0,1,0.014705882352941176,68
A03617,39,230,2,0,0,2,0.014652014652014652,273
A01027,65,75,0,2,0,0,0.014084507042253521,142
A02462,9,131,0,1,0,1,0.014084507042253521,142
A09757,322,110,0,3,0,3,0.0136986301369863,438
A09506,39,33,0,0,0,1,0.0136986301369863,73
A09035,15,58,0,1,0,0,0.013513513513513514,74
A02367,112,255,0,2,0,3,0.013440860215053764,372
A07287,17,57,0,1,0,0,0.013333333333333334,75
A03839,261,862,2,5,0,8,0.013181019332161687,1138
A04251,26,132,0,1,0,1,0.0125,160
A04840,28,130,0,1,0,1,0.0125,160
A01303,75,4,0,1,0,0,0.0125,80
A01889,50,113,0,1,0,1,0.012121212121212121,165
A01078,6,76,0,1,0,0,0.012048192771084338,83
A07488,149,17,0,2,0,0,0.011904761904761904,168
A01739,27,58,0,0,0,1,0.011627906976744186,86
A04156,17,325,0,1,0,3,0.011560693641618497,346
A05167,39,48,0,1,0,0,0.011363636363636364,88
A03347,30,60,0,1,0,0,0.01098901098901099,91
A05170,45,48,1,0,0,0,0.010638297872340425,94
A07454,30,64,0,1,0,0,0.010526315789473684,95
A07535,20,74,0,0,0,1,0.010526315789473684,95
A02609,41,153,0,1,0,1,0.01020408163265306,196
A07836,87,207,0,1,0,2,0.010101010101010102,297
A01719,194,5,0,2,0,0,0.009950248756218905,201
A02723,288,327,0,6,0,0,0.00966183574879227,621
A09255,35,275,0,1,0,2,0.009584664536741214,313
A06325,550,20,1,3,0,1,0.008695652173913044,575
A09971,14,103,0,0,0,1,0.00847457627118644,118
A04836,21,97,0,0,0,1,0.008403361344537815,119
A08447,353,10,0,3,0,0,0.00819672131147541,366
A02488,70,294,0,1,0,2,0.008174386920980926,367
A09950,253,368,0,1,0,4,0.007987220447284345,626
A03409,24,102,0,0,0,1,0.007874015748031496,127
A07198,14,114,0,1,0,0,0.007751937984496124,129
A01473,6,124,0,0,0,1,0.007633587786259542,131
A04574,48,94,0,0,0,1,0.006993006993006993,143
