tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
A06460,28,0,0,3,0,0,0.0967741935483871,31
A20650,5,23,0,0,3,0,0.0967741935483871,31
A14813,89,14,2,9,0,0,0.09649122807017543,114
A17331,44,174,5,3,14,1,0.0954356846473029,241
A15462,7,31,0,1,2,1,0.09523809523809523,42
A40758,2,17,0,1,0,1,0.09523809523809523,21
A67212,5,14,0,1,1,0,0.09523809523809523,21
A03311,22,154,3,3,9,3,0.09278350515463918,194
A00003,32,56,0,5,3,1,0.09278350515463918,97
A19564,81,7,2,3,4,0,0.09278350515463918,97
A63260,12,76,0,0,9,0,0.09278350515463918,97
A09999,49,88,0,7,6,1,0.09271523178807947,151
A08442,67,2,0,7,0,0,0.09210526315789473,76
A44142,7,33,0,0,4,0,0.09090909090909091,44
A04924,20,0,0,2,0,0,0.09090909090909091,22
A35074,2,18,0,0,2,0,0.09090909090909091,22
A16834,523,22,7,44,2,1,0.09015025041736227,599
A04028,3,58,0,0,6,0,0.08955223880597014,67
A09744,34,266,0,2,22,5,0.08814589665653495,329
A02785,59,130,0,6,12,0,0.08695652173913043,207
B14421,6,15,1,0,1,0,0.08695652173913043,23
A01045,64,295,8,4,19,3,0.08651399491094147,393
A79521,31,33,1,1,4,0,0.08571428571428572,70
A47554,7,239,1,1,19,2,0.08550185873605948,269
A03349,42,1,0,4,0,0,0.0851063829787234,47
A60455,9,56,1,0,5,0,0.08450704225352113,71
A17028,4,62,0,0,6,0,0.08333333333333333,72
A30217,7,15,0,2,0,0,0.08333333333333333,24
A29109,1,10,0,0,1,0,0.08333333333333333,12
A47046,2,9,0,1,0,0,0.08333333333333333,12
A90346,0,11,0,1,0,0,0.08333333333333333,12
B14673,20,80,1,0,8,0,0.08256880733944955,109
A06004,7,60,1,1,4,0,0.0821917808219178,73
A03614,21,47,1,3,2,0,0.08108108108108109,74
A20648,0,34,0,0,3,0,0.08108108108108109,37
A17183,1377,71,38,82,6,1,0.08063492063492063,1575
A01698,10,82,4,1,3,0,0.08,100
A28586,1,45,0,1,3,0,0.08,50
A96870,3,43,1,0,3,0,0.08,50
A61629,40,398,7,4,25,2,0.07983193277310924,476
A45545,5,65,0,1,4,1,0.07894736842105263,76
A06525,2,115,1,0,9,0,0.07874015748031496,127
A17717,12,211,1,1,17,0,0.07851239669421488,242
A14711,87,7,0,6,2,0,0.0784313725490196,102
A89583,9,38,1,0,3,0,0.0784313725490196,51
A86326,7,76,0,1,6,0,0.07777777777777778,90
A67899,53,559,7,5,36,3,0.07692307692307693,663
A04978,15,21,1,1,1,0,0.07692307692307693,39
A29206,4,32,1,1,0,1,0.07692307692307693,39
A14757,3,9,0,1,0,0,0.07692307692307693,13
A27534,2,10,0,0,1,0,0.07692307692307693,13
A51356,1,11,1,0,0,0,0.07692307692307693,13
A42487,6,127,0,1,10,0,0.0763888888888889,144
A86502,73,157,1,5,13,0,0.07630522088353414,249
B13601,33,488,3,2,25,13,0.07624113475177305,564
A52285,6,79,1,3,3,0,0.07608695652173914,92
A87567,22,139,0,0,12,1,0.07471264367816093,174
A88994,7,55,4,0,1,0,0.07462686567164178,67
A09001,1,24,1,0,1,0,0.07407407407407407,27
A60146,2,23,0,0,2,0,0.07407407407407407,27
A02054,19,57,5,0,1,0,0.07317073170731707,82
