,Feature_Type,Feature,Model,Accuracy,Precision,F1_Score,Cohen's Kappa
84,Book,Philippians,DS,1.0,1.0,1.0,1.0
85,Book,Philippians,GPT,0.5714,1.0,0.4,0.2222
86,Book,Revelation,DS,1.0,1.0,1.0,1.0
87,Book,Revelation,GPT,0.8,0.6667,0.8,0.6154
88,Book,Leviticus,DS,0.8929,1.0,0.88,0.7857
89,Book,Leviticus,GPT,0.7143,1.0,0.6,0.4286
90,Book,Galatians,DS,0.8639,0.9091,0.9,0.6873
91,Book,Galatians,GPT,0.8503,0.9647,0.8817,0.6821
92,Book,Wisdom,DS,0.0,0.0,0.0,0.0
93,Book,Wisdom,GPT,0.0,0.0,0.0,0.0
94,Book,John,DS,0.9102,0.9677,0.9467,0.6646
95,Book,John,GPT,0.8344,0.9824,0.8951,0.5161
96,Book,Psalms,DS,0.6071,0.875,0.56,0.2804
97,Book,Psalms,GPT,0.5,0.7143,0.4167,0.0968
98,Book,1 Timothy,DS,0.8525,0.9574,0.9091,0.523
99,Book,1 Timothy,GPT,0.6393,1.0,0.7317,0.2869
100,Book,Amos,DS,1.0,1.0,1.0,1.0
101,Book,Amos,GPT,1.0,1.0,1.0,1.0
102,Book,2 Maccabees,DS,1.0,1.0,1.0,1.0
103,Book,2 Maccabees,GPT,0.8,1.0,0.8,0.6154
104,Book,Hosea,DS,1.0,1.0,1.0,1.0
105,Book,Hosea,GPT,0.7778,1.0,0.8571,0.4
106,Book,Lamentations,DS,1.0,1.0,1.0,
107,Book,Lamentations,GPT,1.0,1.0,1.0,
108,Book,3 John,DS,1.0,1.0,1.0,1.0
109,Book,3 John,GPT,1.0,1.0,1.0,1.0
110,Book,Daniel,DS,0.9318,0.875,0.8235,0.7815
111,Book,Daniel,GPT,0.8864,0.8333,0.6667,0.6014
112,Book,Nehemiah,DS,1.0,0.0,0.0,
113,Book,Nehemiah,GPT,1.0,0.0,0.0,
114,Book,2 Corinthians,DS,0.8393,0.9459,0.8861,0.617
115,Book,2 Corinthians,GPT,0.75,1.0,0.8,0.5
116,Book,1 Corinthians,DS,0.8667,0.9469,0.917,0.58
117,Book,1 Corinthians,GPT,0.7746,0.9358,0.8518,0.397
118,Book,1 Samuel,DS,0.8621,0.9048,0.9048,0.6548
119,Book,1 Samuel,GPT,0.6897,0.8333,0.7692,0.304
120,Book,1 John,DS,0.8667,0.9487,0.9136,0.6237
121,Book,1 John,GPT,0.819,1.0,0.8725,0.5778
122,Book,1 Chronicles,DS,0.8636,1.0,0.5714,0.5075
123,Book,1 Chronicles,GPT,0.8182,1.0,0.3333,0.2787
124,Book,Acts,DS,0.9362,0.9146,0.9434,0.8704
125,Book,Acts,GPT,0.8936,0.9844,0.8936,0.789
126,Book,Isaiah,DS,0.8816,0.9649,0.9244,0.6538
127,Book,Isaiah,GPT,0.7632,0.9583,0.8364,0.4319
128,Book,James,DS,0.8209,0.9355,0.8286,0.6461
129,Book,James,GPT,0.7612,0.8966,0.7647,0.5327
130,Book,2 Peter,DS,0.8667,0.9524,0.9091,0.661
131,Book,2 Peter,GPT,0.6333,0.9286,0.7027,0.2918
132,Book,Judith,DS,0.6667,0.0,0.0,0.0
133,Book,Judith,GPT,0.6667,0.0,0.0,0.0
134,Book,Luke,DS,0.8762,0.983,0.9268,0.5351
135,Book,Luke,GPT,0.7776,0.978,0.8606,0.3475
136,Book,Micah,DS,1.0,0.0,0.0,
137,Book,Micah,GPT,1.0,0.0,0.0,
