tcp_id,n_id,id,n_idx,text
A40728,0,2,0,(REF0)
A40728,1,2,0,(REF0)
A40728,2,2,0,(REF0)
A40728,3,4,0,(REF0)
A40728,4,6,0,(REF0)
A40728,5,7,0,(REF0)
A40728,6,7,0,(REF0)
A40728,7,7,0,(REF0) (REF1)
A40728,8,9,0,(REF0)
A40728,9,9,0,(REF0)
A40728,10,9,0,(REF0)
A40728,11,9,0,(REF0)
A40728,12,11,0,1
A40728,13,12,0,(REF0)
A40728,14,13,0,(REF0)
A40728,15,14,0,(REF0)
A40728,16,14,0,(REF0)
A40728,17,18,0,(REF0)
A40728,18,19,0, Sam.
A40728,19,19,1,15 22
A40728,20,20,0,ecclesiastes
A40728,21,20,0,(REF0)
A40728,22,21,0,(REF0)
A40728,23,21,0,(REF0)
A40728,24,22,0,(REF0)
A40728,25,23,0,(REF0)
A40728,26,23,0,(REF0)
A40728,27,23,0,(REF0)
A40728,28,23,0,(REF0)
A40728,29,23,0,1
A40728,30,23,0,(REF0)
A40728,31,24,0,2
A40728,32,24,0,(REF0)
A40728,33,25,0,3
A40728,34,25,0,(REF0)
A40728,35,26,0,(REF0)
A40728,36,26,0,(REF0)
A40728,37,27,0,(REF0)
A40728,38,27,0,(REF0)
A40728,39,27,0,(REF0)
A40728,40,27,0,(REF0)
A40728,41,29,0,(REF0)
A40728,42,30,0,(REF0)
A40728,43,30,0,(REF0)
A40728,44,30,0,(REF0)
A40728,45,30,0,(REF0)
A40728,46,30,0,(REF0)
A40728,47,30,0,(REF0)
A40728,48,31,0,(REF0)
A40728,49,32,0,2
A40728,50,33,0,(REF0)
A40728,51,33,0,(REF0)
A40728,52,33,0,(REF0)
A40728,53,33,0,(REF0)
A40728,54,33,0,(REF0)
A40728,55,33,0,(REF0)
A40728,56,33,0,(REF0)
A40728,57,33,0,(REF0)
A40728,58,33,0,(REF0)
A40728,59,34,0,(REF0)
A40728,60,34,0,(REF0)
A40728,61,36,0,1
A40728,62,36,0,(REF0)
A40728,63,36,0,Ibid.
A40728,64,36,1,4
A40728,65,38,0,(REF0)
A40728,66,41,0,(REF0)
A40728,67,42,0,(REF0)
A40728,68,42,0,(REF0)
A40728,69,43,0,(REF0)
A40728,70,44,0,(REF0)
A40728,71,45,0,(REF0)
A40728,72,45,0,Bern.
A40728,73,46,0,(REF0)
A40728,74,47,0,(REF0)
A40728,75,47,0,(REF0)
A40728,76,47,0,(REF0)
A40728,77,47,0,(REF0) (REF1) (REF2)
A40728,78,48,0,(REF0)
A40728,79,48,0,(REF0)
A40728,80,48,0,2
A40728,81,48,0,(REF0)
A40728,82,48,0,(REF0)
A40728,83,48,0,(REF0)
A40728,84,48,0,(REF0)
A40728,85,48,0,(REF0)
A40728,86,48,0,(REF0)
A40728,87,49,0,(REF0)
A40728,88,50,0,3
A40728,89,50,0,(REF0)
A40728,90,51,0,(REF0) (REF1)
A40728,91,51,0,(REF0)
A40728,92,53,0,(REF0)
A40728,93,53,0,(REF0)
A40728,94,54,0,(REF0)
A40728,95,54,0,(REF0)
A40728,96,54,0,Aug.
A40728,97,55,0,4
A40728,98,56,0,(REF0)
A40728,99,56,0,(REF0)
A40728,100,56,0,(REF0)
A40728,101,56,0,(REF0)
A40728,102,57,0,(REF0)
A40728,103,58,0,(REF0)
A40728,104,58,0,(REF0)
A40728,105,58,0,(REF0)
A40728,106,58,0,(REF0)
A40728,107,58,0,(REF0)
A40728,108,59,0,(REF0)
A40728,109,59,0,3
A40728,110,62,0,(REF0)
A40728,111,62,0,(REF0)
A40728,112,64,0,(REF0) (REF1)
A40728,113,65,0,(REF0)
A40728,114,65,0,(REF0)
A40728,115,65,0,(REF0)
A40728,116,67,0,(REF0)
A40728,117,67,0,(REF0)
A40728,118,68,0,(REF0)
A40728,119,68,0,(REF0)
A40728,120,68,0,(REF0)
A40728,121,68,0,(REF0)
A40728,122,68,0,(REF0)
A40728,123,68,0,(REF0)
A40728,124,69,0,(REF0)
A40728,125,69,0,(REF0)
A40728,126,69,0,(REF0)
A40728,127,70,0,2
A40728,128,71,0,(REF0)
A40728,129,72,0,(REF0)
A40728,130,72,0,(REF0)
A40728,131,73,0,(REF0)
A40728,132,73,0,(REF0)
A40728,133,74,0,(REF0)
A40728,134,74,0,(REF0)
A40728,135,75,0,3
A40728,136,76,0,(REF0)
A40728,137,76,0,(REF0)
A40728,138,76,0,(REF0)
A40728,139,76,0,(REF0)
A40728,140,76,0,(REF0)
A40728,141,76,0,(REF0)
